text,label,date
 ,5,5 months ago
 ,5,9 months ago
Had haircut in last three years here. Rly good even I am not living in London and I was always coming to London to do haircut in this store. But sometimes the time to wait is a bit long ,5,2 years ago
 ,4,3 years ago
"(Translated by Google) The cut is not bad, the wash and blow is only 17 pounds.

(Original)
剪的还不错洗剪吹才17磅
",5,3 years ago
Best hair cut ever!,5,3 years ago
Went there a few times for a haircut it was ok but the last time it was absolutely horrendous. ,1,4 years ago
